month,temp_max_mean,n,temp_max_fit
2012-01-01,7.05483870967742,31,6.418220848953848
2012-02-01,9.275862068965518,29,7.502772112903739
2012-03-01,9.55483870967742,31,10.633884037344606
2012-04-01,14.873333333333333,30,15.053885430157973
2012-05-01,17.661290322580644,31,19.563359119610233
2012-06-01,18.69333333333333,30,22.967961193403262
2012-07-01,22.906451612903226,31,24.350439101915157
2012-08-01,25.858064516129033,31,23.332996230844948
2012-09-01,22.88,30,20.23328444343003
2012-10-01,15.829032258064515,31,15.892706161201216
2012-11-01,11.326666666666666,30,11.499099098437522
2012-12-01,7.235483870967743,31,8.25360008657439
2013-01-01,6.106451612903226,31,7.036076687543135
2013-02-01,9.467857142857143,28,8.07864472713808
2013-03-01,12.709677419354838,31,11.122434332082983
2013-04-01,14.243333333333334,30,15.518439989941225
2013-05-01,19.625806451612902,31,20.04490395098142
2013-06-01,23.253333333333334,30,23.50253711597085
2013-07-01,26.093548387096774,31,24.960103051299217
2013-08-01,26.11935483870968,31,24.02058961709133
2013-09-01,21.36,30,20.978385852450955
2013-10-01,14.229032258064517,31,16.660460584808334
2013-11-01,12.053333333333335,30,12.248924210520812
2013-12-01,7.02258064516129,31,8.949363907079617
2014-01-01,9.600000000000001,31,7.652244395425893
2014-02-01,8.2,28,8.694812435020838
2014-03-01,12.906451612903227,31,11.73860203996574
2014-04-01,15.46,30,16.134607697823984
2014-05-01,19.870967741935484,31,20.66107165886418
2014-06-01,21.59,30,24.11870482385361
2014-07-01,26.9,31,25.576270759181977
2014-08-01,26.383870967741935,31,24.636757324974084
2014-09-01,23.163333333333334,30,21.594553560333715
2014-10-01,17.961290322580645,31,17.27662829269109
2014-11-01,11.03,30,12.865091918403571
2014-12-01,10.138709677419355,31,9.565531614962376
2015-01-01,10.154838709677419,31,8.268412103308652
2015-02-01,12.517857142857142,28,9.310980142903597
2015-03-01,14.37741935483871,31,12.354769747848499
2015-04-01,15.503333333333334,30,16.75077540570674
2015-05-01,20.0258064516129,31,21.277239366746937
2015-06-01,26.063333333333333,30,24.734872531736368
2015-07-01,28.093548387096774,31,26.192438467064736
2015-08-01,26.08709677419355,31,25.252925032856844
2015-09-01,20.293333333333333,30,22.21072126821647
2015-10-01,17.538709677419355,31,17.89279600057385
2015-11-01,9.683333333333334,30,13.481259626286327
2015-12-01,8.380645161290323,31,10.181699322845134
